accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,deviceID
1888,-732,210,-22,0,10,10003
1893,-745,207,-38,2,8,10003
1888,-751,202,-36,9,9,10003
1885,-759,204,-27,2,15,10003
1885,-752,205,-20,8,13,10003
1885,-752,207,-24,4,31,10003
1874,-751,203,-19,9,17,10003
1886,-756,210,-21,4,36,10003
1876,-737,213,-29,9,36,10003
1881,-743,198,-29,5,26,10003
1889,-740,194,-26,1,27,10003
1882,-746,216,-31,4,29,10003
1886,-748,206,-47,23,25,10003
1879,-749,195,-46,8,12,10003
1881,-753,200,-44,13,20,10003
1885,-745,209,-35,6,33,10003
1881,-759,212,-29,6,37,10003
1893,-755,213,-20,6,23,10003
1889,-753,218,-26,7,27,10003
1888,-743,212,-13,8,34,10003
1891,-743,205,-23,6,27,10003
1886,-740,216,-30,13,25,10003
1892,-738,218,-37,15,27,10003
1895,-751,205,-45,15,24,10003
1894,-743,204,-42,15,18,10003
1884,-743,221,-54,21,16,10003
1891,-738,217,-46,17,23,10003
1883,-747,219,-62,17,19,10003
1885,-748,211,-56,14,22,10003
1883,-746,201,-50,16,21,10003
1882,-749,207,-48,18,15,10003
1882,-745,208,-48,19,18,10003
1896,-741,214,-52,16,24,10003
1872,-750,214,-52,9,24,10003
1876,-739,215,-51,5,22,10003
1883,-745,210,-49,12,22,10003
1879,-743,215,-66,13,22,10003
1878,-748,215,-69,16,13,10003
1884,-752,218,-69,17,15,10003
1879,-752,218,-74,16,11,10003
1886,-754,223,-72,11,13,10003
1892,-754,213,-66,12,15,10003
1889,-755,212,-65,8,23,10003
1883,-753,211,-49,4,8,10003
1893,-765,226,-55,10,18,10003
1878,-759,215,-34,8,13,10003
1885,-763,224,-32,12,6,10003
1883,-762,219,-34,8,12,10003
1880,-766,214,-21,4,14,10003
1865,-753,220,-16,-3,9,10003
1871,-760,212,-13,-2,0,10003
1867,-758,211,-22,-8,10,10003
1868,-763,214,-18,-5,16,10003
1873,-761,203,-16,-11,13,10003
1886,-759,206,-9,-10,18,10003
1893,-754,208,-14,-8,13,10003
1895,-756,210,-17,-9,20,10003
1898,-764,212,-20,-9,18,10003
1907,-754,202,-15,-7,11,10003
1888,-741,210,-14,-11,-3,10003
1890,-740,206,-23,-5,7,10003
1887,-736,220,-20,-5,3,10003
1888,-736,213,-20,-16,1,10003
1885,-734,222,-16,-14,-6,10003
1889,-734,215,-21,-15,-15,10003
1890,-749,218,-9,-8,-15,10003
1889,-746,226,-2,-5,-22,10003
1887,-754,221,12,4,-29,10003
1879,-753,220,20,5,-43,10003
1881,-763,223,33,5,-18,10003
1879,-751,208,40,5,-23,10003
1892,-764,207,45,10,-12,10003
1885,-755,209,47,2,0,10003
1885,-742,189,55,-3,-1,10003
1896,-738,208,61,-6,7,10003
1894,-725,214,40,-1,2,10003
1898,-729,203,33,7,4,10003
1894,-727,215,15,-4,-3,10003
1896,-720,205,11,10,-25,10003
1903,-721,211,2,19,-33,10003
1888,-718,221,-20,10,-29,10003
1884,-721,206,-27,18,-23,10003
1887,-733,217,-35,23,-22,10003
1881,-742,199,-39,22,-20,10003
1889,-736,214,-36,27,-17,10003
1887,-735,214,-35,28,3,10003
1878,-738,215,-34,23,3,10003
1886,-738,215,-44,18,2,10003
1880,-736,222,-54,21,19,10003
1882,-739,221,-64,18,19,10003
1890,-737,219,-67,26,24,10003
1896,-739,212,-61,19,13,10003
1888,-743,200,-74,19,5,10003
1893,-744,201,-69,20,16,10003
1886,-739,208,-73,32,4,10003
1872,-749,214,-65,13,7,10003
1869,-744,216,-64,10,1,10003
1881,-756,232,-66,15,13,10003
1886,-749,214,-60,6,17,10003
1880,-753,225,-50,11,13,10003
1885,-744,212,-44,0,16,10003
1886,-750,220,-35,7,18,10003
1892,-756,224,-17,11,15,10003
1882,-747,228,-12,5,20,10003
1884,-745,226,-14,10,19,10003
1879,-742,236,-15,-3,14,10003
1882,-743,214,-22,5,31,10003
1878,-732,217,-23,-6,18,10003
1876,-737,215,-18,-4,21,10003
1879,-746,211,-25,-6,20,10003
1881,-746,210,-27,-2,22,10003
1884,-748,218,-15,-2,20,10003
1895,-747,216,-4,-11,0,10003
1889,-752,217,2,-6,17,10003
1898,-751,214,9,-15,8,10003
1892,-751,219,26,-3,7,10003
1883,-755,218,29,-14,3,10003
1885,-748,207,43,-5,1,10003
1874,-731,225,38,-10,3,10003
1879,-727,220,18,-7,8,10003
1878,-737,219,3,-7,11,10003
1887,-731,215,4,-9,11,10003
1885,-717,215,-6,-10,8,10003
1895,-716,222,-15,-8,10,10003
1896,-749,221,-25,-7,20,10003
1909,-759,213,-5,-8,13,10003
1897,-736,219,16,1,21,10003
1898,-721,217,8,-1,16,10003
1903,-728,216,-2,8,24,10003
1894,-739,218,-5,5,13,10003
1893,-731,229,-4,10,26,10003
1886,-710,220,0,-6,27,10003
1876,-711,225,-22,0,36,10003
1884,-715,218,-43,-1,34,10003
1886,-724,221,-49,2,31,10003
1898,-731,222,-41,1,30,10003
1899,-721,213,-59,1,16,10003
1890,-734,219,-72,2,12,10003
1898,-733,216,-76,5,1,10003
1900,-747,230,-71,-2,-10,10003
1897,-754,227,-65,11,-15,10003
1895,-763,222,-51,7,-13,10003
1883,-768,231,-44,13,-10,10003
1880,-773,207,-28,9,-5,10003
1882,-775,221,-2,6,-2,10003
1886,-763,227,27,-2,5,10003
1885,-764,233,45,-1,14,10003
1891,-752,217,65,1,17,10003
1883,-745,229,65,4,18,10003
1888,-742,225,77,-8,13,10003
1893,-740,217,71,2,13,10003
1897,-722,223,61,-3,12,10003
1889,-726,215,54,-2,12,10003
1895,-727,225,33,4,15,10003
1893,-728,223,27,5,4,10003
1889,-725,220,27,4,6,10003
1880,-735,230,26,5,5,10003
1897,-727,224,22,7,0,10003
1887,-722,219,7,8,-1,10003
1892,-729,224,7,4,9,10003
1897,-740,210,1,6,19,10003
1889,-735,208,3,7,16,10003
1883,-727,207,-4,9,23,10003
1885,-731,217,0,8,24,10003
1887,-729,223,-11,12,24,10003
1874,-728,217,-31,-2,22,10003
1877,-741,232,-31,2,9,10003
1887,-747,215,-41,5,14,10003
1870,-742,219,-27,10,29,10003
1875,-734,221,-30,4,21,10003
1880,-746,222,-22,15,15,10003
1880,-751,234,-34,8,20,10003
1875,-752,218,-15,6,30,10003
1882,-737,225,-5,0,26,10003
1886,-738,214,-7,-2,40,10003
1883,-748,221,-7,6,39,10003
1877,-747,235,-2,0,36,10003
1885,-738,229,2,-3,41,10003
1877,-735,232,-17,-1,40,10003
1894,-736,228,-24,10,44,10003
1893,-743,214,-26,3,30,10003
1889,-745,232,-20,15,40,10003
1896,-753,244,-7,14,42,10003
1885,-748,234,-9,8,36,10003
1887,-738,224,4,10,44,10003
1888,-739,223,2,15,52,10003
1894,-737,217,7,13,50,10003
1880,-736,221,-11,7,59,10003
1881,-729,218,-24,12,51,10003
1894,-729,217,-36,13,62,10003
1894,-729,213,-39,5,54,10003
1898,-735,217,-54,2,37,10003
1888,-731,221,-50,-6,32,10003
1891,-741,207,-68,2,35,10003
1892,-736,220,-68,-12,28,10003
1890,-750,232,-65,-7,21,10003
1883,-763,240,-52,-6,23,10003
1882,-771,235,-43,-8,15,10003
1895,-772,248,-22,-10,19,10003
1883,-771,240,9,-9,18,10003
1885,-771,236,32,-14,22,10003
1880,-772,247,55,-15,26,10003
1886,-757,233,69,-15,28,10003
1886,-762,242,91,-18,29,10003
1894,-752,235,96,-14,22,10003
1900,-743,231,101,-7,19,10003
1895,-749,238,94,-15,13,10003
1894,-739,245,89,-2,6,10003
1892,-740,235,77,-10,4,10003
1891,-736,228,67,-5,11,10003
1889,-748,211,69,2,2,10003
1884,-738,215,62,-4,1,10003
1887,-743,226,66,-7,2,10003
1876,-737,221,59,-7,14,10003
1870,-739,228,67,1,6,10003
1865,-743,227,57,-9,14,10003
1882,-723,225,51,8,-14,10003
1873,-737,233,38,-6,8,10003
1881,-752,223,27,-3,1,10003
1893,-733,225,1,2,-6,10003
1878,-734,221,-3,-4,-2,10003
1879,-747,235,-2,-3,10,10003
1890,-755,237,-15,-4,17,10003
1889,-744,212,-11,0,19,10003
1892,-743,228,-14,-11,24,10003
1890,-746,234,-4,-7,28,10003
1897,-728,231,-5,-4,35,10003
1896,-740,228,-11,1,40,10003
1894,-739,238,-19,1,28,10003
1892,-730,244,-26,7,33,10003
1889,-731,231,-33,0,39,10003
1878,-728,232,-37,1,32,10003
1877,-736,225,-36,3,36,10003
1883,-737,239,-39,6,31,10003
1882,-746,235,-37,-5,30,10003
1885,-745,236,-36,-5,12,10003
1886,-744,247,-36,-6,12,10003
1885,-756,233,-31,-1,16,10003
1895,-764,230,-26,8,10,10003
1889,-762,228,-23,12,21,10003
1884,-761,234,-17,15,16,10003
1880,-759,224,-10,13,13,10003
1884,-761,238,0,9,23,10003
1885,-765,234,-6,-1,32,10003
1880,-750,231,11,-4,25,10003
1884,-739,230,13,-1,25,10003
1877,-736,240,6,5,23,10003
1890,-742,244,2,-5,26,10003
1893,-740,241,-1,-7,23,10003
1895,-747,226,-3,-5,13,10003
1898,-740,234,-3,3,11,10003
1894,-750,242,-2,10,-3,10003
1887,-745,237,-3,7,6,10003
1887,-744,234,4,4,2,10003
1881,-747,249,6,14,10,10003
1881,-744,235,12,0,13,10003
1878,-751,238,8,-8,14,10003
1881,-745,233,5,-1,15,10003
1882,-748,240,10,6,29,10003
1873,-742,227,-7,3,26,10003
1876,-744,228,-14,2,14,10003
1883,-738,235,-18,5,13,10003
1889,-746,234,-22,1,8,10003
1895,-740,230,-31,0,8,10003
1894,-745,233,-28,6,-4,10003
1887,-751,225,-18,-9,0,10003
1894,-756,253,-18,-5,0,10003
1886,-756,238,-17,0,3,10003
1872,-742,248,1,-6,10,10003
1880,-745,245,1,-6,7,10003
1877,-742,239,7,-7,17,10003
1876,-735,235,15,-5,7,10003
1877,-728,241,20,-7,-3,10003
1889,-735,245,9,-9,1,10003
1894,-732,254,11,-10,-1,10003
1887,-731,233,1,5,-2,10003
